timestamp;Basel Temperature [2 m elevation corrected];Basel Temperature [2 m elevation corrected];Basel Temperature [2 m elevation corrected];Basel Relative Humidity [2 m];Basel Relative Humidity [2 m];Basel Relative Humidity [2 m];Basel Wind Speed [10 m];Basel Wind Speed [10 m];Basel Wind Speed [10 m];Basel Wind Direction Dominant [10 m]
2000-01-01T00:00:00;31.850.288;10.950.288;2.183.779;100;94;96.458.336;131.041.975;75.942.082;10.059.106;19.843.495
2000-01-02T00:00:00;70.450.287;11.350.288;3.723.362;99;77;93.375;8.287.822;32.599.385;48.649.726;15.248.363
2000-01-03T00:00:00;61.150.284;-10.049.713;16.154.455;100;73;90.583.336;11.841.756;9;10.443.767;19.239.085
2000-01-04T00:00:00;8.555.029;-17.449.713;29.496.124;100;62;87.916.664;17.727.943;10.464.798;1.377.235;19.512.569
2000-01-05T00:00:00;8.325.028;4.605.029;6.122.528;100;90;94.708.336;17.727.943;41.046.314;9.044.948;1.905.296
2000-01-06T00:00:00;11.185.029;15.950.288;5.238.779;100;63;87.75;14.458.382;58.603.754;10.881.057;18.207.004
2000-01-07T00:00:00;9.205.029;2.285.029;5.441.279;97;84;91.708.336;14.494.192;25.455.842;75.141.406;19.040.771
2000-01-08T00:00:00;7.845.029;35.350.287;5.292.946;100;74;91.166.664;15.141.414;5.937.272;11.084.565;19.025.534
2000-01-09T00:00:00;94.550.295;4.565.029;58.833.623;100;75;92.833.336;10.829.958;01. Aug;7.131.115;2.060.535
2000-01-10T00:00:00;5.355.029;25.050.287;38.833.618;97;80;90.916.664;1.609.969;7.729.527;12.010.745;16.266.022
2000-01-11T00:00:00;4.615.029;16.650.288;29.221.122;96;77;88.708.336;742.159;50.528.407;6.177.534;4.832.982
2000-01-12T00:00:00;47.550.287;-0.6749711;15.441.955;99;63;86.5;7.729.527;38.268.526;52.510.376;15.368.015
2000-01-13T00:00:00;5.175.029;-16.949.713;0.952112;100;75;91;10.144.082;55.887.027;8.883.414;16.385.318
2000-01-14T00:00:00;6.685.029;-18.149.712;17.466.955;100;61;82.916.664;9.585.739;36.179.552;6.736.152;11.670.211
2000-01-15T00:00:00;4.555.029;-19.849.713;0.5196121;100;66;89.916.664;14.618.837;56.920.996;9.280.814;4.733.322
2000-01-16T00:00:00;2.555.029;-25.649.712;-0.25580457;99;65;87.958.336;19.770.523;46.800.003;13.431.695;52.062.996
2000-01-17T00:00:00;52.350.287;-26.149.714;0.64961207;99;62;87.833.336;9.387.651;01. Aug;53.424.683;23.977.626
2000-01-18T00:00:00;36.450.288;11.350.288;23.312.786;97;90;94.5;14.973.576;69.153.743;10.911.346;25.383.667
2000-01-19T00:00:00;30.950.289;0.32502878;15.466.956;97;68;83.25;13.276.144;48.433.046;10.243.314;24.291.656
2000-01-20T00:00:00;46.250.286;-0.52497125;16.629.454;95;61;80.833.336;11.525.623;1.835.647;6.384.586;29.507.605
2000-01-21T00:00:00;27.150.288;0.9050288;1.719.612;95;87;91.458.336;19.211.996;79.932.976;15.065.164;25.267.746
2000-01-22T00:00:00;2.325.029;0.6750288;13.241.956;97;87;93.791.664;5.500.819;9.726.665;28.311.775;24.900.447
2000-01-23T00:00:00;23.850.288;12.850.288;17.229.457;97;89;94.958.336;21.96;6.618.519;13.268.402;28.504.327
