timestamp;Basel Temperature [2 m elevation corrected];Basel Temperature [2 m elevation corrected];Basel Temperature [2 m elevation corrected];Basel Relative Humidity [2 m];Basel Relative Humidity [2 m];Basel Relative Humidity [2 m];Basel Wind Speed [10 m];Basel Wind Speed [10 m];Basel Wind Speed [10 m];Basel Wind Direction Dominant [10 m]
2019-01-01T00:00:00;5.365029;3.1250288;4.0691953;95;90;93.375;9.904906;1.1384199;6.495977;253.8866
2019-01-02T00:00:00;3.6150289;0.035028815;2.117529;95;66;80.833336;20.371038;1.609969;11.034253;308.56964
2019-01-03T00:00:00;2.2550287;-2.2549713;-0.09205454;94;58;76.791664;9.693296;0.5091169;3.743149;41.134552
2019-01-04T00:00:00;3.1750288;-1.0749712;0.7687788;94;66;80.333336;7.42159;1.484318;5.300738;337.59787
2019-01-05T00:00:00;2.6150289;1.3150288;1.7141954;96;80;91.708336;16.09969;7.24486;11.336482;244.8313
2019-01-06T00:00:00;3.0450287;0.83502877;1.8329455;96;84;92.583336;10.538843;5.1544156;8.814588;265.07806
2019-01-07T00:00:00;5.2450285;0.89502877;2.0975287;95;67;89.541664;14.291592;2.3051248;5.2798476;263.6598
2019-01-08T00:00:00;3.4650288;1.4850287;2.4346118;98;89;94.041664;42.609463;16.08761;27.876648;253.29108
2019-01-09T00:00:00;3.0250287;0.58502877;1.7700287;97;79;91.083336;40.794525;11.183201;26.974485;303.04315
2019-01-10T00:00:00;2.2150288;-0.75497127;0.42127883;95;75;89.375;12.24;7.4128532;10.77637;346.36533
2019-01-11T00:00:00;4.865029;-0.53497124;0.8537788;96;54;84.833336;14.291592;0.35999998;7.954596;226.30423
2019-01-12T00:00:00;2.7550287;0.36502874;1.4721122;97;85;93.208336;31.160282;11.090103;17.694242;224.93097
2019-01-13T00:00:00;5.845029;1.7550287;3.5429456;99;93;96.958336;48.214466;21.028437;29.486502;238.46808
2019-01-14T00:00:00;6.1550283;3.565029;4.646695;99;83;93.25;46.1306;12.0694;30.45085;285.35284
2019-01-15T00:00:00;5.405029;0.58502877;3.4879453;95;73;87.333336;17.727943;6.725354;10.388716;233.69977
2019-01-16T00:00:00;10.095029;-0.9349711;3.0566957;97;49;80.958336;15.111424;6.130579;10.1784525;182.30768
2019-01-17T00:00:00;6.7950287;-0.42497122;3.233779;96;76;86.583336;38.82162;16.645864;27.041945;240.83719
