timestamp;Basel Temperature [2 m elevation corrected];Basel Temperature [2 m elevation corrected];Basel Temperature [2 m elevation corrected];Basel Relative Humidity [2 m];Basel Relative Humidity [2 m];Basel Relative Humidity [2 m];Basel Wind Speed [10 m];Basel Wind Speed [10 m];Basel Wind Speed [10 m];Basel Wind Direction Dominant [10 m]
1985-01-01 00:00:00;0.64502877;-3.2749712;-0.17788784;98;86;94.041664;41.556225;13.849477;29.35231;247.38965
1985-01-02 00:00:00;0.64502877;-1.4449713;-0.1662212;98;91;95.083336;41.556225;10.691453;25.334475;284.75098
1985-01-03 00:00:00;-1.5349712;-3.4449713;-2.5170546;95;83;89.666664;26.739542;8.707237;14.654464;270.81952
1985-01-04 00:00:00;-0.9549713;-14.974971;-5.5474715;100;71;92.208336;28.1169;1.4399999;16.23068;286.5157
1985-01-05 00:00:00;-8.394971;-17.884972;-12.399137;100;80;91.5;9.449572;0.8049845;6.0265365;59.697304
1985-01-06 00:00:00;-6.654971;-14.414971;-10.090387;98;81;88;12.24;1.1384199;4.615661;126.13536
1985-01-07 00:00:00;-6.6749706;-19.144972;-11.48497;88;75;82.791664;12.599999;7.289444;9.523295;106.89554
1985-01-08 00:00:00;-7.1649714;-14.444971;-9.255805;97;82;87.875;14.654254;3.0758414;10.578565;30.364258
1985-01-09 00:00:00;-6.224971;-18.374971;-12.809139;100;77;89.708336;16.862455;2.16;9.962558;189.86581
1985-01-10 00:00:00;-2.164971;-6.4949713;-4.644138;100;86;90.5;16.676977;3.096837;10.533418;235.18517
1985-01-11 00:00:00;-2.5049713;-10.904971;-6.64872;100;89;95.166664;8.209263;2.8799999;5.839254;129.93198
1985-01-12 00:00:00;-2.3449712;-10.324971;-6.183304;96;86;91.125;13.830749;2.8116899;9.343666;217.92966
1985-01-13 00:00:00;-2.6349714;-8.874971;-4.530805;93;86;89.916664;23.051247;5.4833565;14.714316;41.402725
1985-01-14 00:00:00;-7.0049706;-12.464971;-9.348304;90;83;87.625;17.786331;6.87779;14.704293;33.870132
1985-01-15 00:00:00;-3.494971;-11.654971;-7.274971;100;85;92;10.685391;3.096837;6.106383;27.282318
